state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260845_ky04,20260845,4,1,0,0,0,"[24500, 31500, 12000, 32000]","[24500, 30500, 18200, 26800]",1,1,0,0,3,1,4,2,12300,middle
g20260819_ky02,20260819,2,0,2,1,0,"[19000, 20500, 34600, 25900]","[18000, 22500, 33600, 24900]",3,0,2,1,4,3,1,2,15600,middle
g20260846_ky03,20260846,3,0,3,0,0,"[25000, 34600, 20000, 20400]","[20000, 30600, 16000, 33400]",3,0,1,0,3,2,4,1,17400,middle
g20260836_ky02,20260836,2,0,2,3,0,"[19800, 20800, 38600, 20800]","[18300, 22300, 37100, 22300]",3,0,4,0,4,2,1,3,18800,middle
g20260837_ky03,20260837,3,0,3,0,0,"[32600, 29800, 20200, 17400]","[32100, 32800, 19700, 15400]",0,1,0,0,2,1,3,4,17400,middle
g20260830_ky04,20260830,4,1,0,0,0,"[14700, 26400, 34200, 24700]","[12100, 26400, 34200, 27300]",1,1,0,0,4,3,1,2,22100,middle
g20260821_ky02,20260821,2,0,2,0,0,"[26500, 25500, 31800, 16200]","[25000, 27000, 30300, 16700]",3,0,1,1,3,2,1,4,13600,middle
g20260843_ky03,20260843,3,0,3,2,1,"[19100, 23900, 50000, 6000]","[16900, 21700, 60600, 800]",0,1,0,0,3,2,1,4,59800,middle
g20260822_ky02,20260822,2,0,2,1,0,"[26500, 15700, 31300, 26500]","[23800, 13000, 39400, 23800]",2,0,2,0,2,4,1,3,26400,middle
g20260844_ky03,20260844,3,0,3,1,1,"[25300, 24000, 22700, 27000]","[25300, 16000, 31700, 27000]",0,1,0,0,3,4,1,2,15700,middle
g20260824_ky02,20260824,2,0,2,1,0,"[62700, 20000, 2200, 15100]","[65000, 19400, 1100, 14500]",3,0,0,0,1,2,4,3,63900,middle
g20260825_ky04,20260825,4,1,0,0,0,"[40400, 17300, 20100, 22200]","[38400, 21300, 19100, 21200]",1,1,0,0,1,2,4,3,19300,middle
g20260826_ky03,20260826,3,0,3,0,0,"[29300, 22400, 12400, 35900]","[30800, 20900, 12900, 34400]",0,1,1,1,2,3,4,1,21500,middle
g20260818_ky03,20260818,3,0,3,1,0,"[22100, 20600, 17300, 40000]","[23600, 19100, 17800, 38500]",0,1,2,1,2,3,4,1,20700,middle
g20260823_ky03,20260823,3,0,3,3,0,"[13400, 12300, 49000, 25300]","[11000, 12300, 49000, 27700]",3,0,4,0,4,3,1,2,38000,middle
g20260832_ky03,20260832,3,0,3,1,0,"[21700, 25000, 24000, 29300]","[30000, 22900, 21900, 25200]",0,1,0,0,1,3,4,2,8100,middle
g20260838_ky03,20260838,3,0,3,0,0,"[28800, 20000, 29900, 21300]","[26200, 17400, 27300, 29100]",3,0,1,0,3,4,2,1,11700,middle
g20260842_ky01,20260842,1,0,1,1,0,"[36500, 30500, 13500, 19500]","[38900, 29900, 12100, 19100]",2,0,0,0,1,2,4,3,26800,early
g20260811_ky03,20260811,3,0,3,1,0,"[24500, 11500, 16000, 48000]","[26500, 10500, 15000, 47000]",0,1,2,1,2,4,3,1,36500,middle
